hour,day_of_week,weather,temperature,traffic_volume
2,2,Clear,34,231
16,1,Rain,34,527
0,2,Rain,25,401
7,0,Rain,21,825
20,6,Rain,33,455
18,2,Rain,24,998
18,1,Rain,28,870
9,6,Rain,26,1043
23,4,Clear,27,255
13,0,Clear,26,470
9,5,Rain,23,953
7,3,Rain,20,820
5,3,Rain,22,593
7,6,Rain,26,910
14,4,Clear,39,425
2,5,Rain,23,349
4,2,Clear,36,229
1,6,Fog,30,443
21,5,Clear,36,157
19,1,Fog,20,946
5,2,Rain,30,630
7,0,Clear,38,935
17,3,Rain,34,1149
17,2,Fog,37,805
15,6,Fog,39,383
7,5,Clear,23,615
12,5,Clear,30,63
22,0,Clear,38,494
3,6,Fog,33,194
5,4,Rain,26,429
13,0,Clear,25,204
18,6,Clear,20,753
12,2,Clear,34,357
4,6,Rain,26,378
8,1,Fog,35,1056
22,3,Clear,29,403
13,5,Fog,22,323
1,1,Fog,31,549
14,0,Clear,30,286
17,0,Clear,27,630
19,2,Fog,20,1021
13,2,Clear,23,221
21,3,Clear,27,465
16,0,Fog,37,493
7,6,Clear,21,799
12,6,Rain,20,346
21,5,Clear,30,87
23,1,Fog,36,364
11,4,Rain,21,635
21,4,Clear,35,288
3,2,Fog,30,597
1,5,Rain,23,362
2,2,Fog,38,388
10,6,Fog,39,330
14,3,Clear,27,478
13,1,Fog,39,309
1,0,Rain,27,392
23,1,Clear,22,294
13,4,Rain,35,418
21,5,Clear,29,214
17,3,Fog,21,794
4,0,Rain,34,335
10,4,Fog,37,442
5,4,Clear,20,230
5,3,Clear,20,367
16,2,Rain,28,471
12,2,Fog,22,451
16,5,Rain,28,355
18,2,Fog,22,625
19,6,Fog,30,990
14,5,Clear,27,381
9,2,Fog,38,625
14,2,Clear,39,263
9,5,Rain,35,865
7,1,Rain,36,932
17,5,Fog,37,593
5,3,Rain,25,627
21,4,Clear,29,343
13,1,Clear,36,358
17,0,Fog,25,865
20,1,Fog,37,413
17,2,Rain,20,672
13,3,Rain,22,371
10,3,Fog,26,307
13,6,Fog,25,318
2,5,Clear,29,124
18,2,Fog,39,956
12,2,Rain,20,615
7,0,Clear,35,838
0,6,Clear,31,222
17,5,Clear,37,681
13,2,Clear,32,430
10,1,Rain,28,436
10,1,Fog,31,310
3,4,Fog,27,398
5,2,Clear,28,248
12,5,Fog,35,286
21,1,Rain,20,611
0,3,Rain,33,484
19,3,Clear,36,620
20,5,Fog,23,171
20,1,Clear,20,464
22,2,Rain,29,631
21,4,Clear,28,226
11,2,Clear,29,454
18,1,Fog,35,766
8,5,Rain,22,764
7,4,Fog,33,859
21,0,Rain,35,600
8,3,Clear,23,752
10,3,Fog,22,272
4,4,Fog,36,587
19,2,Rain,31,747
8,6,Clear,21,648
8,4,Fog,27,971
14,0,Fog,24,374
2,6,Rain,36,457
12,6,Fog,20,414
0,6,Clear,26,224
16,4,Fog,23,507
18,4,Clear,26,656
12,1,Rain,21,669
8,0,Rain,33,817
18,4,Fog,23,912
8,0,Fog,39,739
7,4,Rain,27,1170
3,6,Clear,28,340
3,5,Rain,24,551
20,3,Rain,36,438
1,0,Clear,39,392
8,6,Clear,33,594
0,2,Clear,36,402
11,5,Clear,35,127
17,6,Fog,24,759
8,6,Clear,28,735
23,5,Fog,33,458
10,6,Clear,29,363
21,2,Clear,31,425
18,4,Fog,34,791
3,5,Clear,34,182
13,6,Clear,21,103
10,0,Clear,39,498
23,5,Clear,22,230
0,5,Rain,28,326
18,1,Rain,30,1013
22,6,Fog,22,183
8,6,Fog,36,784
23,6,Clear,28,288
20,5,Fog,24,193
0,0,Clear,36,414
22,2,Rain,29,550
11,6,Fog,20,367
18,3,Clear,22,592
4,1,Clear,34,357
14,3,Fog,20,444
12,4,Clear,37,265
16,2,Clear,34,370
9,0,Clear,26,918
15,5,Fog,24,280
10,1,Clear,35,326
5,0,Rain,28,539
20,4,Fog,39,482
15,2,Clear,30,405
15,6,Clear,35,385
16,1,Fog,21,473
7,1,Rain,33,1016
15,1,Rain,21,380
9,5,Clear,37,512
9,0,Fog,31,704
10,1,Clear,26,330
9,3,Clear,28,750
15,3,Rain,36,434
19,3,Rain,34,835
23,1,Rain,34,444
5,2,Fog,24,395
11,6,Fog,23,327
5,1,Fog,32,523
23,1,Rain,29,334
1,2,Rain,32,390
23,5,Rain,20,286
8,1,Clear,20,809
3,4,Rain,34,431
15,1,Clear,39,425
22,2,Fog,26,387
19,2,Fog,38,860
5,5,Fog,37,427
17,5,Clear,30,653
23,0,Fog,21,534
3,6,Clear,31,143
20,4,Clear,39,263
18,0,Clear,38,733
22,4,Fog,31,556
19,2,Rain,22,930
10,0,Fog,20,407
8,1,Fog,37,1022
18,6,Rain,20,563
23,0,Fog,32,433
0,1,Rain,29,494
6,0,Fog,20,501
6,2,Fog,22,301
1,6,Fog,27,423
0,4,Clear,20,410
11,3,Rain,22,489
13,5,Fog,28,365
7,3,Clear,34,834
16,4,Clear,34,338
12,2,Rain,35,371
4,5,Fog,34,279
4,2,Rain,22,393
2,4,Rain,38,464
19,6,Fog,33,834
4,5,Rain,30,468
0,0,Clear,32,350
13,3,Rain,36,572
9,6,Clear,39,826
15,6,Clear,20,180
13,1,Rain,23,675
12,4,Fog,26,482
22,3,Rain,35,619
5,2,Fog,30,499
7,4,Rain,32,723
10,2,Clear,29,432
4,0,Clear,38,463
18,2,Rain,23,919
9,3,Clear,27,702
6,6,Rain,26,446
11,4,Fog,33,474
11,6,Rain,26,514
3,3,Clear,32,478
4,5,Rain,37,484
12,6,Clear,37,366
12,2,Rain,35,383
12,1,Fog,38,496
5,3,Rain,31,334
23,6,Clear,36,370
21,2,Rain,23,606
20,3,Rain,33,379
17,6,Clear,30,893
11,0,Rain,37,539
15,2,Clear,37,401
10,3,Fog,21,480
4,4,Rain,26,562
4,4,Rain,39,541
18,0,Rain,30,789
3,4,Fog,33,292
2,2,Clear,24,312
21,4,Fog,20,393
20,6,Fog,20,404
5,0,Rain,32,477
20,3,Clear,38,298
16,2,Fog,30,357
20,0,Rain,24,385
16,3,Clear,32,236
1,0,Clear,31,485
7,4,Clear,34,660
11,3,Clear,23,418
21,1,Clear,33,434
16,6,Rain,25,495
20,4,Clear,20,269
23,0,Rain,36,572
17,1,Rain,30,1042
5,6,Rain,31,532
6,5,Clear,33,203
7,4,Fog,24,996
15,4,Fog,33,441
18,1,Clear,36,745
12,0,Clear,25,351
21,2,Clear,26,256
4,3,Fog,26,481
22,5,Rain,38,273
6,1,Clear,24,246
14,6,Clear,22,108
21,3,Fog,38,335
14,1,Fog,32,530
10,0,Clear,33,351
7,3,Rain,39,917
11,1,Clear,36,279
0,2,Clear,34,298
3,5,Rain,27,503
16,0,Clear,22,429
12,6,Rain,31,496
8,0,Rain,20,951
6,3,Fog,31,309
18,4,Rain,30,1234
10,1,Clear,34,271
5,2,Rain,21,568
9,5,Clear,32,649
6,4,Rain,38,680
3,3,Clear,34,372
5,6,Fog,33,330
0,1,Clear,33,378
8,5,Fog,26,969
17,1,Clear,30,913
15,4,Fog,31,498
21,4,Rain,22,554
9,2,Rain,33,1110
15,0,Fog,32,463
14,3,Rain,20,545
7,3,Rain,21,1024
5,5,Fog,31,305
12,6,Rain,38,408
0,1,Rain,32,441
6,2,Fog,25,494
7,1,Fog,33,883
7,1,Fog,22,755
22,3,Clear,29,228
3,0,Fog,26,366
3,0,Rain,32,368
12,0,Clear,20,480
16,5,Rain,37,499
10,3,Rain,32,510
4,3,Fog,27,450
18,5,Fog,39,860
2,0,Fog,23,446
7,2,Fog,33,937
0,1,Clear,27,224
11,2,Fog,32,439
15,6,Fog,39,297
7,4,Rain,21,659
5,6,Rain,30,317
21,1,Fog,29,441
11,6,Clear,27,187
0,3,Fog,37,471
5,5,Fog,32,431
22,4,Clear,23,415
2,4,Fog,36,507
11,2,Clear,21,427
19,3,Clear,28,653
23,1,Rain,21,374
22,1,Fog,39,491
17,0,Fog,39,904
21,5,Rain,29,385
12,4,Clear,36,202
20,2,Rain,26,403
3,2,Fog,36,381
21,6,Rain,33,253
21,5,Clear,37,246
5,0,Clear,26,416
1,5,Rain,24,290
1,6,Clear,21,208
19,4,Rain,28,1084
12,0,Rain,37,310
5,0,Fog,37,558
3,1,Fog,33,328
20,5,Clear,27,324
5,4,Fog,22,405
21,3,Fog,36,375
19,6,Clear,39,951
13,5,Clear,36,128
1,6,Fog,26,264
5,1,Clear,21,431
13,6,Clear,38,163
19,3,Fog,39,1044
21,1,Fog,29,300
12,2,Fog,25,548
20,6,Clear,37,212
3,3,Rain,37,446
22,6,Fog,27,333
18,0,Rain,31,654
10,6,Rain,34,383
11,3,Fog,34,462
1,4,Rain,20,505
2,4,Clear,36,359
19,4,Clear,27,978
6,0,Fog,29,422
17,4,Clear,27,861
2,3,Clear,38,369
23,4,Clear,34,470
20,6,Clear,33,342
22,4,Clear,20,202
5,6,Clear,38,342
20,5,Fog,30,473
20,5,Fog,28,378
23,3,Fog,38,428
4,1,Clear,26,385
12,6,Clear,30,302
8,5,Fog,23,647
7,5,Rain,24,680
5,1,Fog,30,293
1,1,Rain,36,515
17,5,Rain,26,977
15,3,Fog,35,571
23,6,Fog,22,433
16,6,Clear,27,242
12,5,Fog,28,299
1,2,Rain,26,675
22,6,Rain,34,484
14,5,Rain,32,327
10,2,Rain,26,568
8,1,Clear,22,1082
8,4,Rain,30,932
11,4,Clear,36,392
23,2,Rain,28,483
8,6,Fog,22,844
13,3,Rain,36,574
12,3,Rain,29,303
2,3,Fog,24,527
15,1,Fog,20,448
1,6,Clear,33,248
1,6,Rain,37,427
17,5,Rain,31,1104
21,3,Clear,37,457
7,6,Rain,35,963
16,2,Fog,20,513
13,0,Clear,37,383
20,3,Rain,30,399
9,4,Clear,36,787
1,3,Fog,30,443
9,1,Fog,23,877
18,3,Rain,20,1046
12,2,Fog,29,419
12,0,Fog,27,508
17,6,Fog,33,710
12,3,Clear,33,223
22,2,Fog,23,573
13,6,Rain,20,432
10,6,Rain,25,271
1,4,Fog,24,372
2,4,Fog,31,453
8,6,Clear,25,925
16,2,Clear,35,262
23,3,Rain,24,389
1,5,Clear,29,396
12,5,Clear,36,327
0,4,Fog,24,432
10,5,Clear,23,184
0,3,Fog,30,313
19,6,Fog,21,1013
22,2,Rain,28,437
9,2,Fog,37,827
7,0,Fog,37,785
15,2,Fog,21,418
4,6,Rain,30,448
0,5,Rain,28,358
3,6,Fog,32,220
19,2,Rain,25,872
13,0,Rain,21,515
19,2,Fog,36,893
10,0,Clear,35,441
23,2,Rain,35,594
10,0,Rain,35,447
22,1,Fog,26,346
11,1,Clear,36,406
2,2,Rain,23,471
5,1,Fog,37,307
6,4,Fog,36,375
2,2,Fog,33,339
6,3,Fog,29,521
16,5,Clear,27,311
1,2,Fog,36,406
13,5,Clear,24,307
8,2,Fog,33,718
19,3,Fog,27,916
0,4,Rain,35,516
15,3,Clear,34,329
5,5,Rain,36,313
12,0,Clear,26,232
23,6,Fog,24,267
20,5,Fog,35,183
22,4,Clear,26,381
23,5,Clear,35,166
15,6,Clear,38,161
6,1,Fog,25,402
5,5,Fog,23,438
3,0,Fog,27,301
15,1,Fog,20,371
23,2,Clear,26,337
8,3,Fog,20,746
6,1,Clear,36,321
1,2,Fog,20,266
22,5,Rain,39,409
16,2,Fog,26,493
3,0,Clear,34,433
9,2,Rain,35,733
4,4,Rain,35,432
2,6,Rain,22,313
6,3,Rain,24,396
14,1,Fog,33,390
21,2,Fog,22,528
14,4,Rain,34,455
9,0,Fog,25,883
0,4,Clear,34,355
18,2,Fog,20,889
12,3,Fog,22,304
22,1,Rain,37,445
23,0,Rain,39,627
1,0,Fog,36,554
9,1,Fog,29,817
13,1,Clear,29,412
17,6,Fog,23,787
8,6,Rain,28,821
17,3,Clear,39,688
10,2,Fog,33,517
9,5,Fog,20,870
15,5,Clear,38,191
19,2,Fog,29,809
11,3,Clear,27,417
20,4,Clear,39,285
3,0,Fog,38,483
0,3,Fog,29,392
11,5,Clear,39,258
5,2,Rain,39,466
20,6,Fog,23,365
3,5,Fog,24,238
1,4,Rain,21,644
15,3,Fog,23,414
0,6,Fog,24,372
2,4,Clear,29,356
2,5,Clear,33,349
10,0,Rain,25,614
6,4,Fog,24,485
2,1,Rain,37,366
9,0,Rain,36,1081
13,4,Fog,27,347
22,1,Fog,27,345
0,2,Fog,21,504
2,2,Rain,29,455
12,0,Fog,37,443
23,6,Rain,31,289
12,0,Rain,32,550
19,1,Clear,29,875
0,0,Rain,20,507
23,4,Fog,36,534
15,4,Clear,33,495
10,4,Fog,38,310
10,3,Rain,20,415
15,0,Fog,31,316
2,2,Fog,21,444
22,2,Fog,30,450
22,2,Fog,34,448
14,4,Rain,38,457
10,5,Fog,27,252
20,4,Clear,23,487
8,0,Clear,21,854
5,1,Fog,29,514
18,4,Fog,34,817
1,4,Clear,21,373
6,3,Fog,24,502
9,3,Clear,34,759
15,4,Clear,28,226
23,3,Rain,31,484
0,2,Clear,33,405
2,2,Fog,26,419
14,3,Clear,31,251
23,2,Fog,31,541
20,3,Rain,27,539
23,3,Fog,36,446
13,4,Clear,23,323
12,5,Rain,23,437
11,4,Clear,20,216
0,1,Fog,27,472
17,3,Rain,29,1073
15,1,Clear,32,290
9,3,Clear,37,1028
4,5,Fog,26,283
19,1,Fog,24,806
20,2,Rain,20,360
15,0,Rain,23,489
5,5,Rain,31,339
10,3,Clear,20,491
18,5,Rain,20,622
16,3,Fog,28,474
4,5,Clear,33,361
6,0,Fog,24,509
5,1,Fog,24,410
5,6,Rain,36,594
20,4,Fog,24,530
13,0,Fog,38,551
1,0,Clear,21,458
2,5,Fog,22,248
13,0,Clear,26,296
17,2,Clear,30,842
5,1,Rain,35,470
9,2,Clear,30,723
13,3,Rain,32,577
17,0,Fog,32,688
17,3,Rain,35,792
22,2,Rain,26,557
11,6,Rain,34,371
11,3,Fog,29,380
16,3,Rain,32,352
7,5,Fog,20,929
22,3,Rain,30,542
21,0,Fog,24,401
6,0,Fog,39,438
16,3,Rain,39,550
10,4,Clear,29,484
21,3,Clear,35,467
9,0,Fog,24,714
21,5,Rain,27,353
11,6,Rain,21,398
1,2,Fog,23,317
14,2,Rain,28,531
16,5,Fog,26,246
10,0,Clear,23,281
4,1,Clear,31,283
4,0,Rain,29,502
6,5,Rain,23,462
10,6,Rain,26,523
11,5,Rain,38,302
5,5,Rain,24,333
9,5,Rain,25,1032
9,2,Rain,23,968
16,2,Rain,32,433
7,4,Rain,23,831
12,6,Clear,20,164
15,1,Fog,37,573
17,2,Clear,29,872
19,1,Fog,22,1081
18,4,Rain,24,1048
17,0,Fog,20,1016
21,5,Fog,27,203
2,0,Rain,30,464
8,3,Rain,29,1075
6,4,Clear,27,258
20,4,Rain,32,600
12,5,Clear,24,222
17,1,Clear,20,737
23,5,Fog,27,352
0,1,Rain,34,639
6,4,Clear,21,318
19,5,Fog,31,693
4,2,Clear,28,288
19,2,Rain,36,824
19,3,Rain,38,882
5,6,Fog,31,273
16,6,Clear,27,267
8,4,Rain,32,901
10,0,Fog,21,279
6,1,Fog,27,475
15,6,Rain,24,330
23,4,Fog,24,507
16,1,Clear,30,384
9,1,Rain,34,1010
7,6,Clear,34,590
0,1,Clear,29,478
0,4,Rain,37,612
12,1,Clear,29,443
23,4,Fog,22,291
12,6,Clear,24,375
23,5,Clear,26,189
5,6,Rain,30,507
7,2,Clear,24,704
13,3,Rain,29,387
1,0,Rain,20,397
4,6,Rain,22,349
16,1,Clear,28,351
18,2,Clear,38,772
14,4,Fog,22,459
9,3,Clear,24,925
8,5,Rain,34,827
11,1,Clear,36,476
21,0,Rain,27,621
19,0,Clear,26,752
19,3,Fog,29,952
22,0,Rain,26,537
23,0,Fog,39,435
16,5,Clear,26,151
9,4,Fog,28,856
11,6,Fog,20,349
1,1,Clear,37,421
19,1,Fog,20,837
13,4,Fog,29,544
18,5,Clear,25,735
7,0,Rain,27,1097
14,4,Clear,28,347
18,5,Rain,24,824
21,2,Clear,29,474
5,3,Fog,31,411
19,6,Fog,35,930
18,4,Fog,30,775
0,3,Clear,23,248
18,5,Clear,27,933
3,4,Fog,27,315
5,1,Rain,23,614
17,1,Fog,34,969
17,4,Fog,21,775
22,1,Clear,31,247
14,1,Fog,20,527
14,4,Rain,20,313
18,5,Clear,39,591
18,5,Fog,24,534
20,4,Rain,38,613
2,2,Rain,30,539
15,6,Fog,38,161
4,1,Fog,24,311
7,0,Clear,31,746
13,1,Rain,26,482
7,1,Rain,39,842
23,3,Rain,21,356
23,3,Rain,23,309
10,6,Clear,33,223
22,6,Rain,32,421
2,4,Clear,21,364
11,5,Rain,27,512
0,5,Clear,39,303
20,2,Fog,30,398
14,6,Clear,33,265
22,3,Fog,37,408
3,5,Clear,25,77
10,2,Rain,34,518
0,5,Fog,23,412
5,5,Rain,29,293
15,1,Rain,36,571
21,2,Clear,35,378
5,5,Fog,23,203
10,5,Clear,27,328
11,6,Fog,33,257
0,4,Rain,29,494
3,3,Fog,32,481
13,5,Rain,20,428
15,0,Rain,24,616
10,0,Rain,36,507
18,1,Rain,29,1098
16,2,Clear,26,447
7,5,Fog,39,641
23,2,Rain,28,452
20,6,Fog,36,460
2,2,Rain,32,479
3,5,Clear,22,236
6,1,Rain,27,398
22,0,Clear,24,491
16,4,Fog,38,500
21,3,Rain,33,492
10,5,Clear,30,223
0,5,Clear,38,153
16,5,Fog,33,379
2,2,Clear,34,425
4,3,Rain,22,343
6,3,Clear,35,379
2,1,Clear,31,370
21,4,Rain,31,352
6,5,Rain,26,403
10,1,Rain,21,563
6,3,Fog,26,269
21,3,Rain,30,480
0,5,Rain,33,344
10,3,Rain,23,548
19,3,Rain,35,1023
3,6,Clear,29,135
6,6,Rain,20,216
6,2,Rain,26,548
17,4,Clear,38,958
22,6,Fog,28,339
3,5,Rain,21,313
19,6,Fog,27,514
16,3,Clear,36,255
11,4,Fog,23,400
10,0,Rain,38,515
7,0,Rain,31,875
9,6,Fog,24,595
19,3,Rain,29,678
4,2,Clear,30,399
19,3,Rain,23,1160
15,1,Rain,32,646
4,3,Fog,25,383
14,6,Rain,23,338
9,4,Fog,24,961
10,2,Fog,24,327
14,0,Rain,34,542
8,4,Rain,27,905
21,0,Clear,32,345
19,3,Clear,24,1066
3,5,Clear,38,269
4,0,Fog,32,554
13,2,Fog,35,354
23,0,Clear,23,440
21,1,Rain,28,428
8,4,Rain,21,716
7,0,Fog,30,891
11,0,Fog,26,286
10,2,Fog,33,409
16,1,Fog,24,316
17,5,Clear,38,825
15,6,Rain,34,566
22,5,Fog,29,346
11,5,Clear,25,144
23,4,Clear,32,246
12,4,Clear,32,317
12,4,Rain,28,331
0,2,Rain,28,525
6,4,Clear,34,345
19,5,Clear,39,869
3,5,Clear,23,269
9,6,Rain,20,715
16,1,Rain,33,377
22,5,Fog,35,248
9,2,Rain,35,1012
6,5,Clear,32,126
4,0,Fog,35,473
17,0,Clear,39,810
23,5,Clear,29,163
2,1,Clear,28,430
3,5,Fog,36,191
23,0,Clear,28,248
14,2,Clear,32,419
20,4,Fog,27,434
15,2,Fog,29,312
9,0,Clear,35,823
14,3,Rain,23,431
0,5,Rain,27,379
8,4,Fog,37,1056
23,6,Rain,25,473
19,1,Fog,25,1121
23,6,Rain,37,289
4,5,Fog,33,480
10,6,Fog,22,238
22,4,Clear,23,316
14,1,Fog,28,363
12,6,Rain,22,367
9,1,Fog,25,878
10,3,Rain,33,385
3,4,Fog,22,351
23,5,Rain,39,414
6,1,Fog,32,410
22,5,Rain,23,288
6,6,Rain,22,294
0,0,Fog,22,508
6,3,Fog,31,532
13,3,Fog,23,497
3,6,Clear,37,338
21,3,Rain,37,398
16,2,Clear,28,292
21,2,Clear,30,299
13,2,Fog,39,452
22,0,Rain,36,569
5,1,Clear,29,496
15,6,Fog,28,300
6,3,Rain,28,329
17,6,Fog,33,962
2,6,Fog,25,445
19,4,Fog,39,779
5,6,Rain,29,496
8,4,Clear,26,842
17,2,Rain,35,943
8,5,Rain,25,810
13,3,Fog,28,311
4,1,Fog,36,545
23,5,Rain,24,349
2,5,Fog,24,105
5,4,Fog,34,392
1,4,Clear,31,379
14,3,Rain,23,407
17,6,Clear,34,459
15,3,Rain,33,626
13,2,Fog,34,411
21,0,Fog,27,376
23,0,Fog,20,313
8,4,Clear,31,1023
22,0,Rain,30,313
14,0,Clear,29,389
1,0,Fog,20,312
23,0,Fog,32,366
13,0,Clear,36,493
16,5,Fog,30,453
13,2,Fog,23,368
0,0,Rain,28,666
8,5,Fog,31,801
5,3,Rain,23,684
9,5,Fog,35,747
17,0,Clear,22,920
14,2,Fog,27,473
13,5,Clear,32,212
8,0,Fog,39,1099
4,0,Rain,39,408
5,1,Rain,37,569
0,0,Clear,39,355
0,1,Fog,29,466
10,2,Fog,21,301
21,1,Clear,23,317
2,1,Fog,29,538
1,3,Fog,35,339
3,0,Clear,39,285
18,2,Fog,28,897
7,2,Rain,23,990
8,4,Fog,26,937
9,1,Rain,39,977
10,5,Rain,36,352
22,2,Clear,22,238
4,2,Clear,29,448
1,3,Clear,20,231
3,2,Fog,22,535
20,4,Clear,31,385
11,5,Rain,25,481
14,4,Rain,30,634
21,6,Rain,24,429
2,5,Fog,38,293
8,4,Rain,21,1231
6,3,Rain,25,575
22,2,Rain,32,393
5,3,Clear,31,247
22,0,Rain,33,698
14,6,Rain,25,482
9,3,Clear,24,930
21,0,Rain,20,602
20,2,Fog,30,523
19,6,Clear,25,593
20,3,Rain,28,364
10,3,Fog,25,273
4,4,Rain,24,540
22,0,Clear,30,431
17,4,Clear,35,620
3,0,Fog,34,394
20,6,Clear,37,370
15,3,Rain,27,607
14,1,Clear,21,228
20,5,Fog,20,393
2,1,Fog,36,550
8,2,Rain,20,1130
11,5,Fog,35,360
7,6,Clear,34,878
8,6,Clear,37,518
21,6,Fog,39,466
19,2,Clear,24,880
14,3,Clear,36,426
9,4,Clear,31,782
3,0,Fog,36,582
2,4,Rain,24,602
16,3,Clear,33,482
5,1,Rain,25,387
11,4,Fog,31,471
10,0,Rain,26,559
7,1,Clear,20,934
23,2,Fog,25,447
1,4,Fog,30,348
14,1,Clear,33,308
10,6,Rain,33,446
2,4,Rain,25,551
16,5,Rain,36,308
9,1,Rain,21,721
3,4,Fog,32,305
20,6,Fog,24,341
23,1,Clear,22,411
20,0,Fog,26,300
5,1,Clear,24,263
2,2,Fog,38,454
15,1,Fog,26,370
20,6,Fog,29,381
2,6,Clear,37,417
17,0,Rain,21,1042
19,3,Clear,21,630
19,1,Rain,29,1019
23,6,Clear,24,134
21,1,Fog,37,320
18,4,Rain,31,1218
6,1,Fog,39,585
12,0,Fog,36,540
6,0,Fog,24,339
19,0,Fog,24,800
10,6,Clear,31,297
19,1,Rain,32,984
19,6,Rain,38,798
22,3,Clear,33,469
12,2,Rain,32,531
11,0,Rain,33,432
21,5,Rain,37,604
19,5,Clear,28,705
13,0,Fog,28,413
18,3,Rain,29,750
3,0,Rain,32,458
15,0,Rain,26,615
16,0,Fog,29,398
16,0,Fog,21,503
23,6,Fog,35,316
2,3,Clear,36,470
20,6,Rain,39,420
18,5,Fog,37,573
6,1,Rain,31,476
1,0,Clear,28,304
8,5,Clear,26,649
2,2,Rain,30,492
15,6,Fog,26,261
20,3,Fog,26,531
10,2,Clear,28,208
6,5,Fog,34,405
12,6,Rain,35,364
13,2,Rain,27,476
15,1,Fog,27,350
0,5,Rain,38,288
2,0,Rain,22,491
11,4,Rain,31,360
20,1,Rain,20,481
19,4,Rain,34,977
19,2,Clear,37,784
15,6,Rain,30,419
16,2,Clear,27,280
17,0,Clear,30,750
23,6,Fog,21,326
0,2,Clear,30,494
15,0,Clear,36,440
18,2,Rain,39,854
5,1,Clear,37,484
2,6,Rain,37,275
0,4,Rain,37,600
19,5,Rain,33,949
19,4,Rain,39,1125
3,3,Rain,22,461
20,6,Clear,28,323
9,6,Clear,37,493
15,2,Rain,24,555
18,4,Fog,30,970
21,4,Rain,37,515
